Ualpha,LOCALITY_ID,season
1.290865617994206,L1161973,Summer
1.2230262090967416,L1161973,Autumn
1.2466805234328056,L1161973,Winter
1.3082566050571258,L1161973,Spring
1.3401904065450365,L1177484,Summer
1.451624097883843,L1177484,Autumn
1.4304041047159894,L1177484,Winter
1.5188973473558298,L1177484,Spring
1.2388889775961343,L1314800,Summer
1.174483818648854,L1314800,Autumn
1.195296537563191,L1314800,Winter
1.2361639909319142,L1314800,Spring
0.931405319387034,L1788977,Summer
0.8612495768899915,L1788977,Autumn
0.8500990462099993,L1788977,Winter
0.9205799823053091,L1788977,Spring
1.4752146485771158,L1896576,Summer
1.4646997101540635,L1896576,Autumn
1.3937537992169795,L1896576,Winter
1.511660223374602,L1896576,Spring
1.804642930674433,L3033858,Summer
1.6113753134019817,L3033858,Autumn
1.6589965191114013,L3033858,Winter
1.7836228431208945,L3033858,Spring
2.883520284512528,L915566,Summer
2.818133524204493,L915566,Autumn
2.8158204996538965,L915566,Winter
2.8810008588188953,L915566,Spring
1.3712810618818967,L923357,Summer
1.294704317600766,L923357,Autumn
1.3304884412295057,L923357,Winter
1.3632986657866097,L923357,Spring
2.2972940739895553,L945869,Summer
2.239615183340099,L945869,Autumn
2.239975025997946,L945869,Winter
2.3095152525571936,L945869,Spring
0.9361990359125036,L967148,Summer
0.8631896150198659,L967148,Autumn
0.852579655209911,L967148,Winter
0.9133945310894989,L967148,Spring
